2024-05-30 16:06:32,935 (INFO): Waiting for clients to connect on port 35001
2024-05-30 16:06:46,962 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:46,995 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:46,996 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,028 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,030 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,061 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,063 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,096 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,097 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,129 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,131 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,162 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,165 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,195 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,199 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,228 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,233 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,261 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,266 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,294 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,300 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,327 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,334 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,362 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,368 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,394 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,402 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,428 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,436 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,462 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,469 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,496 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,502 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,531 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,536 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,566 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,570 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,599 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,604 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,632 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,638 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,665 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,671 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,698 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,704 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,731 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,738 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,764 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,771 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,797 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,805 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,831 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,839 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,863 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,872 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,896 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,906 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,931 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,941 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,964 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:47,975 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:47,997 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,008 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,029 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,041 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,064 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,075 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,097 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,108 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,129 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,141 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,163 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,175 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,198 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,209 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,231 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,242 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,269 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,275 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,297 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,309 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,331 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,343 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,364 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,377 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,396 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,410 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,431 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,444 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,464 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,478 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,496 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,511 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,530 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,545 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,563 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,578 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,596 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,612 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,629 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,646 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,663 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,679 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,698 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,713 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,731 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,746 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,764 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,779 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,797 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,812 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,830 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,846 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,863 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,881 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,898 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,915 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,931 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,949 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:48,965 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:48,983 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,017 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,051 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,085 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,118 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,152 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,185 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,219 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,252 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,285 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,320 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,354 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,388 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,421 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,433 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:49,434 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:49,454 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,466 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:49,487 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,501 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:49,521 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,535 (INFO): Adding player ('127.0.0.1', 58315)
2024-05-30 16:06:49,554 (INFO): Adding player ('127.0.0.1', 58316)
2024-05-30 16:06:49,569 (INFO): Adding player ('127.0.0.1', 58315)
